study_name,sample_number,species,region,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,year,mass_range
PAL0809,57,Adelie,Anvers,"Adult, 1 Egg Stage",N24A1,Yes,2008-11-15,39,17.5,186,3550,Female,8.57199,-26.07188,NA,2008,mid penguin
PAL0809,58,Adelie,Anvers,"Adult, 1 Egg Stage",N24A2,Yes,2008-11-15,40.6,18.8,193,3800,Male,8.56674,-25.98843,NA,2008,mid penguin
PAL0809,59,Adelie,Anvers,"Adult, 1 Egg Stage",N25A1,Yes,2008-11-15,36.5,16.6,181,2850,Female,9.07878,-25.88156,NA,2008,smol penguin
PAL0809,60,Adelie,Anvers,"Adult, 1 Egg Stage",N25A2,Yes,2008-11-15,37.6,19.1,194,3750,Male,9.108,-25.89677,NA,2008,mid penguin
PAL0809,61,Adelie,Anvers,"Adult, 1 Egg Stage",N27A1,Yes,2008-11-13,35.7,16.9,185,3150,Female,8.96472,-26.40943,NA,2008,smol penguin
PAL0809,62,Adelie,Anvers,"Adult, 1 Egg Stage",N27A2,Yes,2008-11-13,41.3,21.1,195,4400,Male,8.74802,-26.37809,NA,2008,mid penguin
PAL0809,63,Adelie,Anvers,"Adult, 1 Egg Stage",N28A1,Yes,2008-11-13,37.6,17,185,3600,Female,8.58063,-26.21569,NA,2008,mid penguin
PAL0809,64,Adelie,Anvers,"Adult, 1 Egg Stage",N28A2,Yes,2008-11-13,41.1,18.2,192,4050,Male,8.62264,-26.60023,NA,2008,mid penguin
PAL0809,65,Adelie,Anvers,"Adult, 1 Egg Stage",N29A1,Yes,2008-11-13,36.4,17.1,184,2850,Female,8.62623,-26.1165,NA,2008,smol penguin
PAL0809,66,Adelie,Anvers,"Adult, 1 Egg Stage",N29A2,Yes,2008-11-13,41.6,18,192,3950,Male,8.85562,-26.09294,NA,2008,mid penguin
PAL0809,67,Adelie,Anvers,"Adult, 1 Egg Stage",N30A1,Yes,2008-11-06,35.5,16.2,195,3350,Female,8.56192,-25.95541,NA,2008,smol penguin
PAL0809,68,Adelie,Anvers,"Adult, 1 Egg Stage",N30A2,Yes,2008-11-06,41.1,19.1,188,4100,Male,8.71078,-25.81012,NA,2008,mid penguin
PAL0910,101,Adelie,Anvers,"Adult, 1 Egg Stage",N47A1,Yes,2009-11-09,35,17.9,192,3725,Female,8.84451,-26.28055,NA,2009,mid penguin
PAL0910,102,Adelie,Anvers,"Adult, 1 Egg Stage",N47A2,Yes,2009-11-09,41,20,203,4725,Male,9.01079,-26.38085,NA,2009,chonk penguin
PAL0910,103,Adelie,Anvers,"Adult, 1 Egg Stage",N49A1,Yes,2009-11-15,37.7,16,183,3075,Female,9.2151,-26.2253,NA,2009,smol penguin
PAL0910,104,Adelie,Anvers,"Adult, 1 Egg Stage",N49A2,Yes,2009-11-15,37.8,20,190,4250,Male,9.51929,-25.69199,NA,2009,mid penguin
PAL0910,105,Adelie,Anvers,"Adult, 1 Egg Stage",N51A1,Yes,2009-11-15,37.9,18.6,193,2925,Female,9.02642,-25.86482,NA,2009,smol penguin
PAL0910,106,Adelie,Anvers,"Adult, 1 Egg Stage",N51A2,Yes,2009-11-15,39.7,18.9,184,3550,Male,8.85699,-25.80208,NA,2009,mid penguin
PAL0910,107,Adelie,Anvers,"Adult, 1 Egg Stage",N53A1,Yes,2009-11-15,38.6,17.2,199,3750,Female,8.77322,-26.48973,NA,2009,mid penguin
PAL0910,108,Adelie,Anvers,"Adult, 1 Egg Stage",N53A2,Yes,2009-11-15,38.2,20,190,3900,Male,9.59245,-25.70711,NA,2009,mid penguin
PAL0910,109,Adelie,Anvers,"Adult, 1 Egg Stage",N55A1,Yes,2009-11-20,38.1,17,181,3175,Female,9.79532,-25.27385,NA,2009,smol penguin
PAL0910,110,Adelie,Anvers,"Adult, 1 Egg Stage",N55A2,Yes,2009-11-20,43.2,19,197,4775,Male,9.31735,-25.45171,NA,2009,chonk penguin
PAL0910,111,Adelie,Anvers,"Adult, 1 Egg Stage",N58A1,Yes,2009-11-12,38.1,16.5,198,3825,Female,8.43951,-26.57563,NA,2009,mid penguin
PAL0910,112,Adelie,Anvers,"Adult, 1 Egg Stage",N58A2,Yes,2009-11-12,45.6,20.3,191,4600,Male,8.65466,-26.32909,NA,2009,chonk penguin
PAL0910,113,Adelie,Anvers,"Adult, 1 Egg Stage",N60A1,Yes,2009-11-15,39.7,17.7,193,3200,Female,9.02657,-26.06203,NA,2009,smol penguin
PAL0910,114,Adelie,Anvers,"Adult, 1 Egg Stage",N60A2,Yes,2009-11-15,42.2,19.5,197,4275,Male,8.80186,-26.41218,NA,2009,mid penguin
PAL0910,115,Adelie,Anvers,"Adult, 1 Egg Stage",N61A1,Yes,2009-11-17,39.6,20.7,191,3900,Female,8.80967,-26.78958,NA,2009,mid penguin
PAL0910,116,Adelie,Anvers,"Adult, 1 Egg Stage",N61A2,Yes,2009-11-17,42.7,18.3,196,4075,Male,8.91434,-26.42018,NA,2009,mid penguin
PAL0708,1,Gentoo,Anvers,"Adult, 1 Egg Stage",N31A1,Yes,2007-11-27,46.1,13.2,211,4500,Female,7.993,-25.5139,NA,2007,chonk penguin
PAL0708,2,Gentoo,Anvers,"Adult, 1 Egg Stage",N31A2,Yes,2007-11-27,50,16.3,230,5700,Male,8.14756,-25.39369,NA,2007,chonk penguin
PAL0708,3,Gentoo,Anvers,"Adult, 1 Egg Stage",N32A1,Yes,2007-11-27,48.7,14.1,210,4450,Female,8.14705,-25.46172,NA,2007,mid penguin
PAL0708,4,Gentoo,Anvers,"Adult, 1 Egg Stage",N32A2,Yes,2007-11-27,50,15.2,218,5700,Male,8.2554,-25.40075,NA,2007,chonk penguin
PAL0708,5,Gentoo,Anvers,"Adult, 1 Egg Stage",N33A1,Yes,2007-11-18,47.6,14.5,215,5400,Male,8.2345,-25.54456,NA,2007,chonk penguin
PAL0708,6,Gentoo,Anvers,"Adult, 1 Egg Stage",N33A2,Yes,2007-11-18,46.5,13.5,210,4550,Female,7.9953,-25.32829,NA,2007,chonk penguin
PAL0708,7,Gentoo,Anvers,"Adult, 1 Egg Stage",N34A1,Yes,2007-11-27,45.4,14.6,211,4800,Female,8.24515,-25.46782,NA,2007,chonk penguin
PAL0708,8,Gentoo,Anvers,"Adult, 1 Egg Stage",N34A2,Yes,2007-11-27,46.7,15.3,219,5200,Male,8.22673,-25.4276,NA,2007,chonk penguin
PAL0708,9,Gentoo,Anvers,"Adult, 1 Egg Stage",N35A1,Yes,2007-11-27,43.3,13.4,209,4400,Female,8.13643,-25.32176,NA,2007,mid penguin
PAL0708,10,Gentoo,Anvers,"Adult, 1 Egg Stage",N35A2,Yes,2007-11-27,46.8,15.4,215,5150,Male,8.1631,-25.38017,NA,2007,chonk penguin
PAL0708,11,Gentoo,Anvers,"Adult, 1 Egg Stage",N36A1,No,2007-11-27,40.9,13.7,214,4650,Female,8.19579,-25.3933,Nest never observed with full clutch.,2007,chonk penguin
PAL0708,12,Gentoo,Anvers,"Adult, 1 Egg Stage",N36A2,No,2007-11-27,49,16.1,216,5550,Male,8.10417,-25.50562,Nest never observed with full clutch.,2007,chonk penguin
PAL0708,13,Gentoo,Anvers,"Adult, 1 Egg Stage",N37A1,Yes,2007-11-29,45.5,13.7,214,4650,Female,7.77672,-25.4168,NA,2007,chonk penguin
PAL0708,14,Gentoo,Anvers,"Adult, 1 Egg Stage",N37A2,Yes,2007-11-29,48.4,14.6,213,5850,Male,7.8208,-25.48025,NA,2007,chonk penguin
PAL0708,15,Gentoo,Anvers,"Adult, 1 Egg Stage",N38A1,Yes,2007-12-03,45.8,14.6,210,4200,Female,7.79958,-25.62618,NA,2007,mid penguin
PAL0708,16,Gentoo,Anvers,"Adult, 1 Egg Stage",N38A2,Yes,2007-12-03,49.3,15.7,217,5850,Male,8.07137,-25.52473,NA,2007,chonk penguin
PAL0708,17,Gentoo,Anvers,"Adult, 1 Egg Stage",N39A1,Yes,2007-11-27,42,13.5,210,4150,Female,7.63884,-25.52627,NA,2007,mid penguin
PAL0708,18,Gentoo,Anvers,"Adult, 1 Egg Stage",N39A2,Yes,2007-11-27,49.2,15.2,221,6300,Male,8.27376,-25.00169,NA,2007,chonk penguin
PAL0708,19,Gentoo,Anvers,"Adult, 1 Egg Stage",N40A1,Yes,2007-11-27,46.2,14.5,209,4800,Female,7.84057,-25.37899,NA,2007,chonk penguin
PAL0708,20,Gentoo,Anvers,"Adult, 1 Egg Stage",N40A2,Yes,2007-11-27,48.7,15.1,222,5350,Male,7.96491,-25.39587,NA,2007,chonk penguin
PAL0708,21,Gentoo,Anvers,"Adult, 1 Egg Stage",N41A1,Yes,2007-11-27,50.2,14.3,218,5700,Male,7.8962,-25.37746,NA,2007,chonk penguin
PAL0708,22,Gentoo,Anvers,"Adult, 1 Egg Stage",N41A2,Yes,2007-11-27,45.1,14.5,215,5000,Female,7.6322,-25.46569,NA,2007,chonk penguin
PAL0708,23,Gentoo,Anvers,"Adult, 1 Egg Stage",N42A1,Yes,2007-11-27,46.5,14.5,213,4400,Female,7.90436,-25.3947,NA,2007,mid penguin
PAL0708,24,Gentoo,Anvers,"Adult, 1 Egg Stage",N42A2,Yes,2007-11-27,46.3,15.8,215,5050,Male,7.90971,-25.38157,NA,2007,chonk penguin
PAL0708,25,Gentoo,Anvers,"Adult, 1 Egg Stage",N44A1,Yes,2007-11-29,42.9,13.1,215,5000,Female,7.68528,-25.39181,NA,2007,chonk penguin
PAL0708,26,Gentoo,Anvers,"Adult, 1 Egg Stage",N44A2,Yes,2007-11-29,46.1,15.1,215,5100,Male,7.83733,-25.42826,NA,2007,chonk penguin
PAL0708,27,Gentoo,Anvers,"Adult, 1 Egg Stage",N46A1,Yes,2007-11-29,44.5,14.3,216,4100,NA,7.96621,-25.69327,Sexing primers did not amplify.,2007,mid penguin
PAL0708,28,Gentoo,Anvers,"Adult, 1 Egg Stage",N46A2,Yes,2007-11-29,47.8,15,215,5650,Male,7.92358,-25.48383,NA,2007,chonk penguin
PAL0708,29,Gentoo,Anvers,"Adult, 1 Egg Stage",N47A1,Yes,2007-11-29,48.2,14.3,210,4600,Female,7.6887,-25.50811,NA,2007,chonk penguin
PAL0708,30,Gentoo,Anvers,"Adult, 1 Egg Stage",N47A2,Yes,2007-11-29,50,15.3,220,5550,Male,8.30515,-25.19017,NA,2007,chonk penguin
PAL0708,31,Gentoo,Anvers,"Adult, 1 Egg Stage",N50A1,Yes,2007-11-29,47.3,15.3,222,5250,Male,NA,NA,Not enough blood for isotopes.,2007,chonk penguin
PAL0708,32,Gentoo,Anvers,"Adult, 1 Egg Stage",N50A2,Yes,2007-11-29,42.8,14.2,209,4700,Female,7.63452,-25.46327,NA,2007,chonk penguin
PAL0708,33,Gentoo,Anvers,"Adult, 1 Egg Stage",N56A1,Yes,2007-12-03,45.1,14.5,207,5050,Female,7.97408,-25.53768,NA,2007,chonk penguin
PAL0708,34,Gentoo,Anvers,"Adult, 1 Egg Stage",N56A2,Yes,2007-12-03,59.6,17,230,6050,Male,7.76843,-25.6821,NA,2007,chonk penguin
PAL0809,35,Gentoo,Anvers,"Adult, 1 Egg Stage",N2A1,Yes,2008-11-13,49.1,14.8,220,5150,Female,7.89744,-26.63405,NA,2008,chonk penguin
PAL0809,36,Gentoo,Anvers,"Adult, 1 Egg Stage",N2A2,Yes,2008-11-13,48.4,16.3,220,5400,Male,8.03659,-26.86127,NA,2008,chonk penguin
PAL0809,37,Gentoo,Anvers,"Adult, 1 Egg Stage",N4A1,Yes,2008-11-02,42.6,13.7,213,4950,Female,7.96935,-26.70968,NA,2008,chonk penguin
PAL0809,38,Gentoo,Anvers,"Adult, 1 Egg Stage",N4A2,Yes,2008-11-02,44.4,17.3,219,5250,Male,8.13746,-26.79093,NA,2008,chonk penguin
PAL0809,39,Gentoo,Anvers,"Adult, 1 Egg Stage",N5A1,Yes,2008-11-09,44,13.6,208,4350,Female,8.01979,-26.68311,NA,2008,mid penguin
PAL0809,40,Gentoo,Anvers,"Adult, 1 Egg Stage",N5A2,Yes,2008-11-09,48.7,15.7,208,5350,Male,8.14776,-26.84506,NA,2008,chonk penguin
PAL0809,41,Gentoo,Anvers,"Adult, 1 Egg Stage",N6A1,No,2008-11-04,42.7,13.7,208,3950,Female,8.14567,-26.59467,Nest never observed with full clutch.,2008,mid penguin
PAL0809,42,Gentoo,Anvers,"Adult, 1 Egg Stage",N6A2,No,2008-11-04,49.6,16,225,5700,Male,8.38324,-26.84272,Nest never observed with full clutch.,2008,chonk penguin
PAL0809,43,Gentoo,Anvers,"Adult, 1 Egg Stage",N7A1,Yes,2008-11-04,45.3,13.7,210,4300,Female,8.37615,-26.72791,NA,2008,mid penguin
PAL0809,44,Gentoo,Anvers,"Adult, 1 Egg Stage",N7A2,Yes,2008-11-04,49.6,15,216,4750,Male,8.26548,-26.7699,NA,2008,chonk penguin
PAL0809,45,Gentoo,Anvers,"Adult, 1 Egg Stage",N8A1,Yes,2008-11-03,50.5,15.9,222,5550,Male,8.46894,-26.60436,NA,2008,chonk penguin
PAL0809,46,Gentoo,Anvers,"Adult, 1 Egg Stage",N8A2,Yes,2008-11-03,43.6,13.9,217,4900,Female,8.27141,-26.7765,NA,2008,chonk penguin
PAL0809,47,Gentoo,Anvers,"Adult, 1 Egg Stage",N11A1,No,2008-11-09,45.5,13.9,210,4200,Female,8.47829,-26.61788,Nest never observed with full clutch.,2008,mid penguin
PAL0809,48,Gentoo,Anvers,"Adult, 1 Egg Stage",N11A2,No,2008-11-09,50.5,15.9,225,5400,Male,8.65803,-26.57585,Nest never observed with full clutch.,2008,chonk penguin
PAL0809,49,Gentoo,Anvers,"Adult, 1 Egg Stage",N12A1,Yes,2008-11-02,44.9,13.3,213,5100,Female,8.45167,-26.89644,NA,2008,chonk penguin
PAL0809,50,Gentoo,Anvers,"Adult, 1 Egg Stage",N12A2,Yes,2008-11-02,45.2,15.8,215,5300,Male,8.55868,-26.67799,NA,2008,chonk penguin
PAL0809,51,Gentoo,Anvers,"Adult, 1 Egg Stage",N13A1,Yes,2008-11-04,46.6,14.2,210,4850,Female,8.38289,-26.86352,NA,2008,chonk penguin
PAL0809,52,Gentoo,Anvers,"Adult, 1 Egg Stage",N13A2,Yes,2008-11-04,48.5,14.1,220,5300,Male,8.39867,-26.79358,NA,2008,chonk penguin
PAL0809,53,Gentoo,Anvers,"Adult, 1 Egg Stage",N14A1,Yes,2008-11-04,45.1,14.4,210,4400,Female,8.51951,-27.01854,NA,2008,mid penguin
PAL0809,54,Gentoo,Anvers,"Adult, 1 Egg Stage",N14A2,Yes,2008-11-04,50.1,15,225,5000,Male,8.50153,-26.61414,NA,2008,chonk penguin
PAL0809,55,Gentoo,Anvers,"Adult, 1 Egg Stage",N15A1,Yes,2008-11-04,46.5,14.4,217,4900,Female,8.48789,-26.83006,NA,2008,chonk penguin
PAL0809,56,Gentoo,Anvers,"Adult, 1 Egg Stage",N15A2,Yes,2008-11-04,45,15.4,220,5050,Male,8.63488,-26.75621,NA,2008,chonk penguin
PAL0809,57,Gentoo,Anvers,"Adult, 1 Egg Stage",N16A1,Yes,2008-11-03,43.8,13.9,208,4300,Female,8.58319,-26.84415,NA,2008,mid penguin
PAL0809,58,Gentoo,Anvers,"Adult, 1 Egg Stage",N16A2,Yes,2008-11-03,45.5,15,220,5000,Male,8.63604,-26.7489,NA,2008,chonk penguin
PAL0809,59,Gentoo,Anvers,"Adult, 1 Egg Stage",N17A1,Yes,2008-11-06,43.2,14.5,208,4450,Female,8.48367,-26.86485,NA,2008,mid penguin
PAL0809,60,Gentoo,Anvers,"Adult, 1 Egg Stage",N17A2,Yes,2008-11-06,50.4,15.3,224,5550,Male,8.74647,-26.79846,NA,2008,chonk penguin
PAL0809,61,Gentoo,Anvers,"Adult, 1 Egg Stage",N18A1,Yes,2008-11-03,45.3,13.8,208,4200,Female,8.65015,-26.79053,NA,2008,mid penguin
PAL0809,62,Gentoo,Anvers,"Adult, 1 Egg Stage",N18A2,Yes,2008-11-03,46.2,14.9,221,5300,Male,8.60092,-26.84374,NA,2008,chonk penguin
PAL0809,63,Gentoo,Anvers,"Adult, 1 Egg Stage",N19A1,Yes,2008-11-13,45.7,13.9,214,4400,Female,8.6287,-26.60484,NA,2008,mid penguin
PAL0809,64,Gentoo,Anvers,"Adult, 1 Egg Stage",N19A2,Yes,2008-11-13,54.3,15.7,231,5650,Male,8.49662,-26.84166,NA,2008,chonk penguin
PAL0809,65,Gentoo,Anvers,"Adult, 1 Egg Stage",N20A1,Yes,2008-11-04,45.8,14.2,219,4700,Female,8.60447,-26.61601,NA,2008,chonk penguin
PAL0809,66,Gentoo,Anvers,"Adult, 1 Egg Stage",N20A2,Yes,2008-11-04,49.8,16.8,230,5700,Male,8.47067,-26.69166,NA,2008,chonk penguin
PAL0809,67,Gentoo,Anvers,"Adult, 1 Egg Stage",N51A1,Yes,2008-11-09,46.2,14.4,214,4650,NA,8.24253,-26.8154,Sexing primers did not amplify.,2008,chonk penguin
PAL0809,68,Gentoo,Anvers,"Adult, 1 Egg Stage",N51A2,Yes,2008-11-09,49.5,16.2,229,5800,Male,8.49854,-26.74809,NA,2008,chonk penguin
PAL0809,69,Gentoo,Anvers,"Adult, 1 Egg Stage",N53A1,Yes,2008-11-13,43.5,14.2,220,4700,Female,8.64931,-26.68867,NA,2008,chonk penguin
PAL0809,70,Gentoo,Anvers,"Adult, 1 Egg Stage",N53A2,Yes,2008-11-13,50.7,15,223,5550,Male,8.63551,-26.74249,NA,2008,chonk penguin
PAL0809,71,Gentoo,Anvers,"Adult, 1 Egg Stage",N54A1,Yes,2008-11-03,47.7,15,216,4750,Female,8.53018,-26.72751,NA,2008,chonk penguin
PAL0809,72,Gentoo,Anvers,"Adult, 1 Egg Stage",N54A2,Yes,2008-11-03,46.4,15.6,221,5000,Male,8.35078,-26.70783,NA,2008,chonk penguin
PAL0809,73,Gentoo,Anvers,"Adult, 1 Egg Stage",N55A1,Yes,2008-11-09,48.2,15.6,221,5100,Male,8.24651,-26.66958,NA,2008,chonk penguin
PAL0809,74,Gentoo,Anvers,"Adult, 1 Egg Stage",N55A2,Yes,2008-11-09,46.5,14.8,217,5200,Female,8.58487,-26.5929,NA,2008,chonk penguin
PAL0809,75,Gentoo,Anvers,"Adult, 1 Egg Stage",N56A1,Yes,2008-11-06,46.4,15,216,4700,Female,8.47938,-26.9547,NA,2008,chonk penguin
PAL0809,76,Gentoo,Anvers,"Adult, 1 Egg Stage",N56A2,Yes,2008-11-06,48.6,16,230,5800,Male,8.5964,-26.71199,NA,2008,chonk penguin
PAL0809,77,Gentoo,Anvers,"Adult, 1 Egg Stage",N58A1,Yes,2008-11-06,47.5,14.2,209,4600,Female,8.39299,-26.78733,NA,2008,chonk penguin
PAL0809,78,Gentoo,Anvers,"Adult, 1 Egg Stage",N58A2,Yes,2008-11-06,51.1,16.3,220,6000,Male,8.40327,-26.76821,NA,2008,chonk penguin
PAL0809,79,Gentoo,Anvers,"Adult, 1 Egg Stage",N60A1,Yes,2008-11-09,45.2,13.8,215,4750,Female,8.24694,-26.65359,NA,2008,chonk penguin
PAL0809,80,Gentoo,Anvers,"Adult, 1 Egg Stage",N60A2,Yes,2008-11-09,45.2,16.4,223,5950,Male,8.19749,-26.65931,NA,2008,chonk penguin
PAL0910,81,Gentoo,Anvers,"Adult, 1 Egg Stage",N1A1,Yes,2009-11-18,49.1,14.5,212,4625,Female,8.35802,-26.2766,NA,2009,chonk penguin
PAL0910,82,Gentoo,Anvers,"Adult, 1 Egg Stage",N1A2,Yes,2009-11-18,52.5,15.6,221,5450,Male,8.28601,-26.27573,NA,2009,chonk penguin
PAL0910,83,Gentoo,Anvers,"Adult, 1 Egg Stage",N6A1,Yes,2009-11-15,47.4,14.6,212,4725,Female,8.19101,-26.24369,NA,2009,chonk penguin
PAL0910,84,Gentoo,Anvers,"Adult, 1 Egg Stage",N6A2,Yes,2009-11-15,50,15.9,224,5350,Male,8.20042,-26.39677,NA,2009,chonk penguin
PAL0910,85,Gentoo,Anvers,"Adult, 1 Egg Stage",N8A1,Yes,2009-11-22,44.9,13.8,212,4750,Female,8.11238,-26.20372,NA,2009,chonk penguin
PAL0910,86,Gentoo,Anvers,"Adult, 1 Egg Stage",N8A2,Yes,2009-11-22,50.8,17.3,228,5600,Male,8.27428,-26.30019,NA,2009,chonk penguin
PAL0910,87,Gentoo,Anvers,"Adult, 1 Egg Stage",N13A1,Yes,2009-11-20,43.4,14.4,218,4600,Female,8.2346800000000009,-26.18599,NA,2009,chonk penguin
PAL0910,88,Gentoo,Anvers,"Adult, 1 Egg Stage",N13A2,Yes,2009-11-20,51.3,14.2,218,5300,Male,8.15426,-26.3433,NA,2009,chonk penguin
PAL0910,89,Gentoo,Anvers,"Adult, 1 Egg Stage",N14A1,Yes,2009-11-25,47.5,14,212,4875,Female,8.12691,-26.23613,NA,2009,chonk penguin
PAL0910,90,Gentoo,Anvers,"Adult, 1 Egg Stage",N14A2,Yes,2009-11-25,52.1,17,230,5550,Male,8.27595,-26.11657,NA,2009,chonk penguin
PAL0910,91,Gentoo,Anvers,"Adult, 1 Egg Stage",N15A1,Yes,2009-11-25,47.5,15,218,4950,Female,8.29671,-26.08547,NA,2009,chonk penguin
PAL0910,92,Gentoo,Anvers,"Adult, 1 Egg Stage",N15A2,Yes,2009-11-25,52.2,17.1,228,5400,Male,8.36701,-25.89834,NA,2009,chonk penguin
PAL0910,93,Gentoo,Anvers,"Adult, 1 Egg Stage",N18A1,Yes,2009-12-01,45.5,14.5,212,4750,Female,8.15566,-26.22848,NA,2009,chonk penguin
PAL0910,94,Gentoo,Anvers,"Adult, 1 Egg Stage",N18A2,Yes,2009-12-01,49.5,16.1,224,5650,Male,8.83352,-25.69195,NA,2009,chonk penguin
PAL0910,95,Gentoo,Anvers,"Adult, 1 Egg Stage",N19A1,Yes,2009-11-27,44.5,14.7,214,4850,Female,8.20106,-26.16524,NA,2009,chonk penguin
PAL0910,96,Gentoo,Anvers,"Adult, 1 Egg Stage",N19A2,Yes,2009-11-27,50.8,15.7,226,5200,Male,8.27102,-26.11244,NA,2009,chonk penguin
PAL0910,97,Gentoo,Anvers,"Adult, 1 Egg Stage",N20A1,Yes,2009-11-18,49.4,15.8,216,4925,Male,8.03624,-26.06594,NA,2009,chonk penguin
PAL0910,98,Gentoo,Anvers,"Adult, 1 Egg Stage",N20A2,Yes,2009-11-18,46.9,14.6,222,4875,Female,7.8881,-26.04726,NA,2009,chonk penguin
PAL0910,99,Gentoo,Anvers,"Adult, 1 Egg Stage",N21A1,Yes,2009-11-18,48.4,14.4,203,4625,Female,8.16582,-26.13971,NA,2009,chonk penguin
PAL0910,100,Gentoo,Anvers,"Adult, 1 Egg Stage",N21A2,Yes,2009-11-18,51.1,16.5,225,5250,Male,8.2066,-26.36863,NA,2009,chonk penguin
PAL0910,101,Gentoo,Anvers,"Adult, 1 Egg Stage",N22A1,Yes,2009-11-22,48.5,15,219,4850,Female,8.10231,-26.18763,NA,2009,chonk penguin
PAL0910,102,Gentoo,Anvers,"Adult, 1 Egg Stage",N22A2,Yes,2009-11-22,55.9,17,228,5600,Male,8.3118,-26.35425,NA,2009,chonk penguin
PAL0910,103,Gentoo,Anvers,"Adult, 1 Egg Stage",N23A1,Yes,2009-11-18,47.2,15.5,215,4975,Female,8.30817,-26.21651,NA,2009,chonk penguin
PAL0910,104,Gentoo,Anvers,"Adult, 1 Egg Stage",N23A2,Yes,2009-11-18,49.1,15,228,5500,Male,8.65914,-25.79203,NA,2009,chonk penguin
PAL0910,105,Gentoo,Anvers,"Adult, 1 Egg Stage",N24A1,Yes,2009-12-01,47.3,13.8,216,4725,NA,8.25818,-26.23886,Sexing primers did not amplify.,2009,chonk penguin
PAL0910,106,Gentoo,Anvers,"Adult, 1 Egg Stage",N24A2,Yes,2009-12-01,46.8,16.1,215,5500,Male,8.32359,-26.05756,NA,2009,chonk penguin
PAL0910,107,Gentoo,Anvers,"Adult, 1 Egg Stage",N28A1,Yes,2009-11-10,41.7,14.7,210,4700,Female,8.12311,-26.44815,NA,2009,chonk penguin
PAL0910,108,Gentoo,Anvers,"Adult, 1 Egg Stage",N28A2,Yes,2009-11-10,53.4,15.8,219,5500,Male,8.41017,-26.33867,NA,2009,chonk penguin
PAL0910,109,Gentoo,Anvers,"Adult, 1 Egg Stage",N29A1,Yes,2009-11-09,43.3,14,208,4575,Female,8.4207,-26.38092,NA,2009,chonk penguin
PAL0910,110,Gentoo,Anvers,"Adult, 1 Egg Stage",N29A2,Yes,2009-11-09,48.1,15.1,209,5500,Male,8.45738,-26.22664,NA,2009,chonk penguin
