study_name,sample_number,species,region,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,year,mass_range
PAL0708,47,Adelie,Anvers,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13,41.1,19,182,3425,Male,NA,NA,Not enough blood for isotopes.,2007,smol penguin
PAL0708,48,Adelie,Anvers,"Adult, 1 Egg Stage",N29A2,Yes,2007-11-13,37.5,18.9,179,2975,NA,NA,NA,Sexing primers did not amplify. Not enough blood for isotopes.,2007,smol penguin
PAL0708,49,Adelie,Anvers,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13,36,17.9,190,3450,Female,9.51784,-25.07683,NA,2007,smol penguin
PAL0708,50,Adelie,Anvers,"Adult, 1 Egg Stage",N30A2,Yes,2007-11-13,42.3,21.2,191,4150,Male,8.87988,-25.18543,NA,2007,mid penguin
PAL0809,85,Adelie,Anvers,"Adult, 1 Egg Stage",N41A1,Yes,2008-11-17,37.3,17.8,191,3350,Female,8.32718,-26.38396,NA,2008,smol penguin
PAL0809,86,Adelie,Anvers,"Adult, 1 Egg Stage",N41A2,Yes,2008-11-17,41.3,20.3,194,3550,Male,9.14863,-26.09635,NA,2008,mid penguin
PAL0809,87,Adelie,Anvers,"Adult, 1 Egg Stage",N42A1,Yes,2008-11-08,36.3,19.5,190,3800,Male,8.57087,-26.22227,NA,2008,mid penguin
PAL0809,88,Adelie,Anvers,"Adult, 1 Egg Stage",N42A2,Yes,2008-11-08,36.9,18.6,189,3500,Female,8.59147,-26.08165,NA,2008,smol penguin
PAL0809,89,Adelie,Anvers,"Adult, 1 Egg Stage",N44A1,Yes,2008-11-08,38.3,19.2,189,3950,Male,9.07826,-26.12417,NA,2008,mid penguin
PAL0809,90,Adelie,Anvers,"Adult, 1 Egg Stage",N44A2,Yes,2008-11-08,38.9,18.8,190,3600,Female,8.36936,-26.11199,NA,2008,mid penguin
PAL0809,91,Adelie,Anvers,"Adult, 1 Egg Stage",N45A1,Yes,2008-11-14,35.7,18,202,3550,Female,8.46531,-26.05621,NA,2008,mid penguin
PAL0809,92,Adelie,Anvers,"Adult, 1 Egg Stage",N45A2,Yes,2008-11-14,41.1,18.1,205,4300,Male,8.77018,-25.83352,NA,2008,mid penguin
PAL0809,93,Adelie,Anvers,"Adult, 1 Egg Stage",N46A1,Yes,2008-11-05,34,17.1,185,3400,Female,8.01485,-26.695430000000002,NA,2008,smol penguin
PAL0809,94,Adelie,Anvers,"Adult, 1 Egg Stage",N46A2,Yes,2008-11-05,39.6,18.1,186,4450,Male,8.49915,-26.42406,NA,2008,mid penguin
PAL0809,95,Adelie,Anvers,"Adult, 1 Egg Stage",N48A1,Yes,2008-11-17,36.2,17.3,187,3300,Female,8.90723,-26.30037,NA,2008,smol penguin
PAL0809,96,Adelie,Anvers,"Adult, 1 Egg Stage",N48A2,Yes,2008-11-17,40.8,18.9,208,4300,Male,8.48204,-26.57941,NA,2008,mid penguin
PAL0809,97,Adelie,Anvers,"Adult, 1 Egg Stage",N49A1,Yes,2008-11-08,38.1,18.6,190,3700,Female,8.10277,-26.50086,NA,2008,mid penguin
PAL0809,98,Adelie,Anvers,"Adult, 1 Egg Stage",N49A2,Yes,2008-11-08,40.3,18.5,196,4350,Male,8.3945900000000009,-26.01152,NA,2008,mid penguin
PAL0809,99,Adelie,Anvers,"Adult, 1 Egg Stage",N50A1,Yes,2008-11-10,33.1,16.1,178,2900,Female,9.04218,-26.15775,NA,2008,smol penguin
PAL0809,100,Adelie,Anvers,"Adult, 1 Egg Stage",N50A2,Yes,2008-11-10,43.2,18.5,192,4100,Male,8.97025,-26.03679,NA,2008,mid penguin
PAL0910,133,Adelie,Anvers,"Adult, 1 Egg Stage",N76A1,Yes,2009-11-10,36.8,18.5,193,3500,Female,8.98705,-25.57647,NA,2009,smol penguin
PAL0910,134,Adelie,Anvers,"Adult, 1 Egg Stage",N76A2,Yes,2009-11-10,37.5,18.5,199,4475,Male,8.56708,-26.49288,NA,2009,mid penguin
PAL0910,135,Adelie,Anvers,"Adult, 1 Egg Stage",N77A1,Yes,2009-11-13,38.1,17.6,187,3425,Female,8.717,-25.77951,NA,2009,smol penguin
PAL0910,136,Adelie,Anvers,"Adult, 1 Egg Stage",N77A2,Yes,2009-11-13,41.1,17.5,190,3900,Male,8.94365,-26.06943,NA,2009,mid penguin
PAL0910,137,Adelie,Anvers,"Adult, 1 Egg Stage",N78A1,Yes,2009-11-16,35.6,17.5,191,3175,Female,8.75984,-25.97696,NA,2009,smol penguin
PAL0910,138,Adelie,Anvers,"Adult, 1 Egg Stage",N78A2,Yes,2009-11-16,40.2,20.1,200,3975,Male,8.95998,-26.32601,NA,2009,mid penguin
PAL0910,139,Adelie,Anvers,"Adult, 1 Egg Stage",N79A1,No,2009-11-16,37,16.5,185,3400,Female,8.61651,-26.07021,Nest never observed with full clutch.,2009,smol penguin
PAL0910,140,Adelie,Anvers,"Adult, 1 Egg Stage",N79A2,No,2009-11-16,39.7,17.9,193,4250,Male,9.25769,-25.88798,Nest never observed with full clutch.,2009,mid penguin
PAL0910,141,Adelie,Anvers,"Adult, 1 Egg Stage",N80A1,Yes,2009-11-14,40.2,17.1,193,3400,Female,9.2881,-25.54976,NA,2009,smol penguin
PAL0910,142,Adelie,Anvers,"Adult, 1 Egg Stage",N80A2,Yes,2009-11-14,40.6,17.2,187,3475,Male,9.23408,-26.01549,NA,2009,smol penguin
PAL0910,143,Adelie,Anvers,"Adult, 1 Egg Stage",N81A1,Yes,2009-11-16,32.1,15.5,188,3050,Female,8.79787,-26.61075,NA,2009,smol penguin
PAL0910,144,Adelie,Anvers,"Adult, 1 Egg Stage",N81A2,Yes,2009-11-16,40.7,17,190,3725,Male,9.05674,-25.79529,NA,2009,mid penguin
PAL0910,145,Adelie,Anvers,"Adult, 1 Egg Stage",N82A1,Yes,2009-11-16,37.3,16.8,192,3000,Female,9.06829,-25.85203,NA,2009,smol penguin
PAL0910,146,Adelie,Anvers,"Adult, 1 Egg Stage",N82A2,Yes,2009-11-16,39,18.7,185,3650,Male,9.22033,-26.03442,NA,2009,mid penguin
PAL0910,147,Adelie,Anvers,"Adult, 1 Egg Stage",N83A1,Yes,2009-11-13,39.2,18.6,190,4250,Male,9.11006,-25.79549,NA,2009,mid penguin
PAL0910,148,Adelie,Anvers,"Adult, 1 Egg Stage",N83A2,Yes,2009-11-13,36.6,18.4,184,3475,Female,8.68744,-25.8306,NA,2009,smol penguin
PAL0910,149,Adelie,Anvers,"Adult, 1 Egg Stage",N84A1,Yes,2009-11-17,36,17.8,195,3450,Female,8.94332,-25.79189,NA,2009,smol penguin
PAL0910,150,Adelie,Anvers,"Adult, 1 Egg Stage",N84A2,Yes,2009-11-17,37.8,18.1,193,3750,Male,8.97533,-26.03495,NA,2009,mid penguin
PAL0910,151,Adelie,Anvers,"Adult, 1 Egg Stage",N85A1,Yes,2009-11-17,36,17.1,187,3700,Female,8.93465,-26.07081,NA,2009,mid penguin
PAL0910,152,Adelie,Anvers,"Adult, 1 Egg Stage",N85A2,Yes,2009-11-17,41.5,18.5,201,4000,Male,8.8964,-26.06967,NA,2009,mid penguin
PAL0708,1,Chinstrap,Anvers,"Adult, 1 Egg Stage",N61A1,No,2007-11-19,46.5,17.9,192,3500,Female,9.03935,-24.30229,Nest never observed with full clutch.,2007,smol penguin
PAL0708,2,Chinstrap,Anvers,"Adult, 1 Egg Stage",N61A2,No,2007-11-19,50,19.5,196,3900,Male,8.92069,-24.23592,Nest never observed with full clutch.,2007,mid penguin
PAL0708,3,Chinstrap,Anvers,"Adult, 1 Egg Stage",N62A1,Yes,2007-11-26,51.3,19.2,193,3650,Male,9.29078,-24.7557,NA,2007,mid penguin
PAL0708,4,Chinstrap,Anvers,"Adult, 1 Egg Stage",N62A2,Yes,2007-11-26,45.4,18.7,188,3525,Female,8.64701,-24.62717,NA,2007,mid penguin
PAL0708,5,Chinstrap,Anvers,"Adult, 1 Egg Stage",N64A1,Yes,2007-11-21,52.7,19.8,197,3725,Male,9.00642,-24.61867,NA,2007,mid penguin
PAL0708,6,Chinstrap,Anvers,"Adult, 1 Egg Stage",N64A2,Yes,2007-11-21,45.2,17.8,198,3950,Female,8.88942,-24.49433,NA,2007,mid penguin
PAL0708,7,Chinstrap,Anvers,"Adult, 1 Egg Stage",N66A1,Yes,2007-11-28,46.1,18.2,178,3250,Female,8.85664,-24.55644,NA,2007,smol penguin
PAL0708,8,Chinstrap,Anvers,"Adult, 1 Egg Stage",N66A2,Yes,2007-11-28,51.3,18.2,197,3750,Male,8.63701,-24.84059,NA,2007,mid penguin
PAL0708,9,Chinstrap,Anvers,"Adult, 1 Egg Stage",N67A1,Yes,2007-11-21,46,18.9,195,4150,Female,8.47173,-24.29229,NA,2007,mid penguin
PAL0708,10,Chinstrap,Anvers,"Adult, 1 Egg Stage",N67A2,Yes,2007-11-21,51.3,19.9,198,3700,Male,8.79581,-24.36088,NA,2007,mid penguin
PAL0708,11,Chinstrap,Anvers,"Adult, 1 Egg Stage",N68A1,Yes,2007-11-28,46.6,17.8,193,3800,Female,8.95063,-24.59897,NA,2007,mid penguin
PAL0708,12,Chinstrap,Anvers,"Adult, 1 Egg Stage",N68A2,Yes,2007-11-28,51.7,20.3,194,3775,Male,8.68747,-24.38751,NA,2007,mid penguin
PAL0708,13,Chinstrap,Anvers,"Adult, 1 Egg Stage",N69A1,Yes,2007-11-26,47,17.3,185,3700,Female,8.72037,-24.80526,NA,2007,mid penguin
PAL0708,14,Chinstrap,Anvers,"Adult, 1 Egg Stage",N69A2,Yes,2007-11-26,52,18.1,201,4050,Male,9.0233,-24.38933,NA,2007,mid penguin
PAL0708,15,Chinstrap,Anvers,"Adult, 1 Egg Stage",N70A1,Yes,2007-11-22,45.9,17.1,190,3575,Female,9.12277,-24.90024,NA,2007,mid penguin
PAL0708,16,Chinstrap,Anvers,"Adult, 1 Egg Stage",N70A2,Yes,2007-11-22,50.5,19.6,201,4050,Male,9.8059,-24.7294,NA,2007,mid penguin
PAL0708,17,Chinstrap,Anvers,"Adult, 1 Egg Stage",N71A1,No,2007-11-30,50.3,20,197,3300,Male,10.02019,-24.54704,Nest never observed with full clutch.,2007,smol penguin
PAL0708,18,Chinstrap,Anvers,"Adult, 1 Egg Stage",N71A2,No,2007-11-30,58,17.8,181,3700,Female,9.14382,-24.57994,Nest never observed with full clutch.,2007,mid penguin
PAL0708,19,Chinstrap,Anvers,"Adult, 1 Egg Stage",N72A1,Yes,2007-11-30,46.4,18.6,190,3450,Female,9.32105,-24.64162,NA,2007,smol penguin
PAL0708,20,Chinstrap,Anvers,"Adult, 1 Egg Stage",N72A2,Yes,2007-11-30,49.2,18.2,195,4400,Male,9.27158,-24.64335,NA,2007,mid penguin
PAL0708,21,Chinstrap,Anvers,"Adult, 1 Egg Stage",N73A1,Yes,2007-12-03,42.4,17.3,181,3600,Female,9.35138,-24.6879,NA,2007,mid penguin
PAL0708,22,Chinstrap,Anvers,"Adult, 1 Egg Stage",N73A2,Yes,2007-12-03,48.5,17.5,191,3400,Male,9.42666,-24.26375,NA,2007,smol penguin
PAL0708,23,Chinstrap,Anvers,"Adult, 1 Egg Stage",N85A1,No,2007-11-28,43.2,16.6,187,2900,Female,9.35416,-25.01185,Nest never observed with full clutch.,2007,smol penguin
PAL0708,24,Chinstrap,Anvers,"Adult, 1 Egg Stage",N85A2,No,2007-11-28,50.6,19.4,193,3800,Male,9.28153,-24.97134,Nest never observed with full clutch.,2007,mid penguin
PAL0708,25,Chinstrap,Anvers,"Adult, 1 Egg Stage",N89A1,No,2007-11-28,46.7,17.9,195,3300,Female,9.74144,-24.59467,Nest never observed with full clutch.,2007,smol penguin
PAL0708,26,Chinstrap,Anvers,"Adult, 1 Egg Stage",N89A2,No,2007-11-28,52,19,197,4150,Male,9.36799,-24.47142,Nest never observed with full clutch.,2007,mid penguin
PAL0809,27,Chinstrap,Anvers,"Adult, 1 Egg Stage",N61A1,No,2008-11-25,50.5,18.4,200,3400,Female,8.9399,-23.89017,Nest never observed with full clutch.,2008,smol penguin
PAL0809,28,Chinstrap,Anvers,"Adult, 1 Egg Stage",N61A2,No,2008-11-25,49.5,19,200,3800,Male,9.63074,-24.34684,Nest never observed with full clutch.,2008,mid penguin
PAL0809,29,Chinstrap,Anvers,"Adult, 1 Egg Stage",N62A1,Yes,2008-11-14,46.4,17.8,191,3700,Female,9.37369,-24.52896,NA,2008,mid penguin
PAL0809,30,Chinstrap,Anvers,"Adult, 1 Egg Stage",N62A2,Yes,2008-11-14,52.8,20,205,4550,Male,9.25177,-24.69638,NA,2008,chonk penguin
PAL0809,31,Chinstrap,Anvers,"Adult, 1 Egg Stage",N63A1,Yes,2008-11-24,40.9,16.6,187,3200,Female,9.08458,-24.54903,NA,2008,smol penguin
PAL0809,32,Chinstrap,Anvers,"Adult, 1 Egg Stage",N63A2,Yes,2008-11-24,54.2,20.8,201,4300,Male,9.49283,-24.59996,NA,2008,mid penguin
PAL0809,33,Chinstrap,Anvers,"Adult, 1 Egg Stage",N65A1,Yes,2008-11-24,42.5,16.7,187,3350,Female,9.36668,-24.45195,NA,2008,smol penguin
PAL0809,34,Chinstrap,Anvers,"Adult, 1 Egg Stage",N65A2,Yes,2008-11-24,51,18.8,203,4100,Male,9.23196,-24.17282,NA,2008,mid penguin
PAL0809,35,Chinstrap,Anvers,"Adult, 1 Egg Stage",N67A1,Yes,2008-11-25,49.7,18.6,195,3600,Male,9.75486,-24.31198,NA,2008,mid penguin
PAL0809,36,Chinstrap,Anvers,"Adult, 1 Egg Stage",N67A2,Yes,2008-11-25,47.5,16.8,199,3900,Female,9.07825,-25.1455,NA,2008,mid penguin
PAL0809,37,Chinstrap,Anvers,"Adult, 1 Egg Stage",N69A1,Yes,2008-11-14,47.6,18.3,195,3850,Female,8.83502,-24.65859,NA,2008,mid penguin
PAL0809,38,Chinstrap,Anvers,"Adult, 1 Egg Stage",N69A2,Yes,2008-11-14,52,20.7,210,4800,Male,9.43146,-24.6844,NA,2008,chonk penguin
PAL0809,39,Chinstrap,Anvers,"Adult, 1 Egg Stage",N72A1,No,2008-11-24,46.9,16.6,192,2700,Female,9.80589,-24.73735,Nest never observed with full clutch.,2008,smol penguin
PAL0809,40,Chinstrap,Anvers,"Adult, 1 Egg Stage",N72A2,No,2008-11-24,53.5,19.9,205,4500,Male,10.02544,-24.90816,Nest never observed with full clutch.,2008,chonk penguin
PAL0809,41,Chinstrap,Anvers,"Adult, 1 Egg Stage",N74A1,Yes,2008-11-24,49,19.5,210,3950,Male,9.53262,-24.66867,NA,2008,mid penguin
PAL0809,42,Chinstrap,Anvers,"Adult, 1 Egg Stage",N74A2,Yes,2008-11-24,46.2,17.5,187,3650,Female,9.61734,-24.66188,NA,2008,mid penguin
PAL0809,43,Chinstrap,Anvers,"Adult, 1 Egg Stage",N75A1,Yes,2008-11-14,50.9,19.1,196,3550,Male,10.02372,-24.86594,NA,2008,mid penguin
PAL0809,44,Chinstrap,Anvers,"Adult, 1 Egg Stage",N75A2,Yes,2008-11-14,45.5,17,196,3500,Female,9.36493,-24.66259,NA,2008,smol penguin
PAL0910,45,Chinstrap,Anvers,"Adult, 1 Egg Stage",N86A1,Yes,2009-11-17,50.9,17.9,196,3675,Female,9.43684,-24.16566,NA,2009,mid penguin
PAL0910,46,Chinstrap,Anvers,"Adult, 1 Egg Stage",N86A2,Yes,2009-11-17,50.8,18.5,201,4450,Male,9.45827,-24.35575,NA,2009,mid penguin
PAL0910,47,Chinstrap,Anvers,"Adult, 1 Egg Stage",N87A1,Yes,2009-11-27,50.1,17.9,190,3400,Female,9.46819,-24.45721,NA,2009,smol penguin
PAL0910,48,Chinstrap,Anvers,"Adult, 1 Egg Stage",N87A2,Yes,2009-11-27,49,19.6,212,4300,Male,9.34089,-24.45189,NA,2009,mid penguin
PAL0910,49,Chinstrap,Anvers,"Adult, 1 Egg Stage",N88A1,Yes,2009-11-23,51.5,18.7,187,3250,Male,9.6895,-24.43062,NA,2009,smol penguin
PAL0910,50,Chinstrap,Anvers,"Adult, 1 Egg Stage",N88A2,Yes,2009-11-23,49.8,17.3,198,3675,Female,9.32169,-24.41562,NA,2009,mid penguin
PAL0910,51,Chinstrap,Anvers,"Adult, 1 Egg Stage",N90A1,Yes,2009-11-21,48.1,16.4,199,3325,Female,9.46929,-24.48403,NA,2009,smol penguin
PAL0910,52,Chinstrap,Anvers,"Adult, 1 Egg Stage",N90A2,Yes,2009-11-21,51.4,19,201,3950,Male,9.43782,-24.36202,NA,2009,mid penguin
PAL0910,53,Chinstrap,Anvers,"Adult, 1 Egg Stage",N92A1,Yes,2009-11-23,45.7,17.3,193,3600,Female,9.415,-24.805,NA,2009,mid penguin
PAL0910,54,Chinstrap,Anvers,"Adult, 1 Egg Stage",N92A2,Yes,2009-11-23,50.7,19.7,203,4050,Male,9.93727,-24.59066,NA,2009,mid penguin
PAL0910,55,Chinstrap,Anvers,"Adult, 1 Egg Stage",N93A1,Yes,2009-11-27,42.5,17.3,187,3350,Female,9.56534,-24.60882,NA,2009,smol penguin
PAL0910,56,Chinstrap,Anvers,"Adult, 1 Egg Stage",N93A2,Yes,2009-11-27,52.2,18.8,197,3450,Male,9.77528,-24.56481,NA,2009,smol penguin
PAL0910,57,Chinstrap,Anvers,"Adult, 1 Egg Stage",N94A1,Yes,2009-11-21,45.2,16.6,191,3250,Female,9.62357,-24.78984,NA,2009,smol penguin
PAL0910,58,Chinstrap,Anvers,"Adult, 1 Egg Stage",N94A2,Yes,2009-11-21,49.3,19.9,203,4050,Male,9.88809,-24.59513,NA,2009,mid penguin
PAL0910,59,Chinstrap,Anvers,"Adult, 1 Egg Stage",N95A1,Yes,2009-11-21,50.2,18.8,202,3800,Male,9.74492,-24.404,NA,2009,mid penguin
PAL0910,60,Chinstrap,Anvers,"Adult, 1 Egg Stage",N95A2,Yes,2009-11-21,45.6,19.4,194,3525,Female,9.46985,-24.65786,NA,2009,mid penguin
PAL0910,61,Chinstrap,Anvers,"Adult, 1 Egg Stage",N96A1,Yes,2009-11-27,51.9,19.5,206,3950,Male,NA,-23.78767,No delta15N data received from lab.,2009,mid penguin
PAL0910,62,Chinstrap,Anvers,"Adult, 1 Egg Stage",N96A2,Yes,2009-11-27,46.8,16.5,189,3650,Female,9.65061,-24.48153,NA,2009,mid penguin
PAL0910,63,Chinstrap,Anvers,"Adult, 1 Egg Stage",N98A1,Yes,2009-11-19,45.7,17,195,3650,Female,9.2671500000000009,-24.31912,NA,2009,mid penguin
PAL0910,64,Chinstrap,Anvers,"Adult, 1 Egg Stage",N98A2,Yes,2009-11-19,55.8,19.8,207,4000,Male,9.7046500000000009,-24.53494,NA,2009,mid penguin
PAL0910,65,Chinstrap,Anvers,"Adult, 1 Egg Stage",N99A1,No,2009-11-21,43.5,18.1,202,3400,Female,9.37608,-24.40753,Nest never observed with full clutch.,2009,smol penguin
PAL0910,66,Chinstrap,Anvers,"Adult, 1 Egg Stage",N99A2,No,2009-11-21,49.6,18.2,193,3775,Male,9.4618,-24.70615,Nest never observed with full clutch.,2009,mid penguin
PAL0910,67,Chinstrap,Anvers,"Adult, 1 Egg Stage",N100A1,Yes,2009-11-21,50.8,19,210,4100,Male,9.98044,-24.68741,NA,2009,mid penguin
PAL0910,68,Chinstrap,Anvers,"Adult, 1 Egg Stage",N100A2,Yes,2009-11-21,50.2,18.7,198,3775,Female,9.39305,-24.25255,NA,2009,mid penguin
